Марка;Модель;Годы;Экран;Магнитола;Цена магнитолы;Рамка;Артикул рамки;Цена рамки;Проводка;Цена проводки;Итого;Статус;Вариантов рамок;Вариантов проводки;Рамок с фото
Audi;A3;2008–2012;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Audi A3 2008 - 2012 9 дюймов;AU 016N;960;Переходник для камеры заднего вида Volkswagen, Skoda;150;18110;ок;1;1;0
Audi;A4;1994–2001;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка в Audi A4 (B5) 1994 - 2001 9 дюймов (авто с климат контролем);AU 031N;2525;Переходник для камеры заднего вида Volkswagen, Skoda;150;19675;ПРОВЕРИТЬ: годы проводки не совпали;1;3;0
Audi;A4;2002–2008;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Audi A4 (B6, B7) 2002 - 2008 9 дюймов;AU 017N;602;Переходник Андроид магнитолы для Audi Q5, A4, A5 2007-2017 (с Audi Multimedia) (AHD);6589;24191;ок;1;3;0
Audi;A4;2007–2015;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Audi A4 (B8) 2007 - 2015 для 12,3 дюйма магнитолы;TK3036;2761;Переходник Андроид магнитолы для Audi Q5, A4, A5 2007-2017 (с Audi Multimedia) (AHD);6589;35750;ок;1;3;0
Audi;A6;1997–2004;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Audi A6 (C5) 1997 - 2004 9 дюймов;AU 018N;994;Переходник Андроид магнитолы для Audi A6 1997-2004;598;18592;ок;1;2;0
Audi;Q5;2010–2018;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка в Audi Q5 (8R) 2010 - 2018 9 дюймов Тип2;AU 026N;3835;Переходник Андроид магнитолы для Audi Q5, A4, A5 2007-2017 (с Audi Multimedia) (AHD);6589;27424;ок;1;2;0
Audi;Q5;2010–2018;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Audi Q5 (8R) 2010 - 2018 для 12,3 дюйма магнитолы;TK3035;2010;Переходник Андроид магнитолы для Audi Q5, A4, A5 2007-2017 (с Audi Multimedia) (AHD);6589;34999;ок;1;2;0
BMW;3 Series;1998–2005;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для BMW 3 (E46) 1998 - 2005 9 дюймов;BM 023N;669;Переходник Андроид магнитолы для BMW 3,5,X5 (E46,E39,E53) 1995-2006 XP;2384;20053;ок;1;3;0
BMW;5 Series;1999–20006;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для BMW 5 (E39) 1999 - 2006 9 дюймов тип B;BM 024N;1161;Переходник Андроид магнитолы для BMW 3,5,X5 (E46,E39,E53) 1995-2006 XP;2384;20545;ок;1;2;0
BMW;5 Series;2010–2016;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для BMW 5 (F10, F11, F07) 2010 - 2016 для 12,3 дюйма магнитолы;012B;1330;Переходник Андроид магнитолы для BMW 3,5,X5 (E46,E39,E53) 1995-2006 XP;2384;30114;ПРОВЕРИТЬ: годы проводки не совпали;1;2;0
